Time           CRC Message
20 17:04:52.398 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 7D 71 00 00 00 00 43 4F 65 FA 43 4F 65 FA 00 00 00 00 3A A0 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 82 8F 00 00 00 00 43 4F 6A 68 43 4F 6A 68 00 00 00 00 26 A0 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 5C 29 00 00 00 00 43 4F 49 28 43 4F 49 28 00 00 00 00 21 0B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:52.959 B  5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 59 9A 00 00 00 00 43 4F 46 F0 43 4F 46 F0 00 00 00 00 5E 08 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 47 AE 00 00 00 00 43 4F 37 6B 43 4F 37 6B 00 00 00 00 8D 0D 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 4F 5C 00 00 00 00 43 4F 3E 12 43 4F 3E 12 00 00 00 00 A8 D2 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 
20 17:04:53.018 B  00 00 5E F1 
20 17:04:53.207 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 61 48 00 00 00 00 43 4F 4D 97 43 4F 4D 97 00 00 00 00 E4 98 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:53.727 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 66 66 00 00 00 00 43 4F 52 05 43 4F 52 05 00 00 00 00 17 35 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 5E B8 00 00 00 00 43 4F 4B 5F 43 4F 4B 5F 00 00 00 00 AA DF 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 4F 5C 00 00 00 00 43 4F 3E 12 43 4F 3E 12 00 00 00 00 A8 D2 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:54.288 B  5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 5C 29 00 00 00 00 43 4F 49 28 43 4F 49 28 00 00 00 00 21 0B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 63 D7 00 00 00 00 43 4F 4F CE 43 4F 4F CE 00 00 00 00 36 88 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 38 52 00 00 00 00 43 4F 2A 1E 43 4F 2A 1E 00 00 00 00 61 4A 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 
20 17:04:54.536 B  00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 3A E1 00 00 00 00 43 4F 2C 55 43 4F 2C 55 00 00 00 00 43 61 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:54.728 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 40 00 00 00 00 00 43 4F 30 C5 43 4F 30 C5 00 00 00 00 CD EB 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:55.249 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 47 AE 00 00 00 00 43 4F 37 6B 43 4F 37 6B 00 00 00 00 8D 0D 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 5E B8 00 00 00 00 43 4F 4B 5F 43 4F 4B 5F 00 00 00 00 AA DF 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 63 D7 00 00 00 00 43 4F 4F CE 43 4F 4F CE 00 00 00 00 36 88 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:55.306 B  5E F1 
20 17:04:55.496 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 63 D7 00 00 00 00 43 4F 4F CE 43 4F 4F CE 00 00 00 00 36 88 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:55.689 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 63 D7 00 00 00 00 43 4F 4F CE 43 4F 4F CE 00 00 00 00 36 88 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:56.209 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 45 1F 00 00 00 00 43 4F 35 34 43 4F 35 34 00 00 00 00 81 14 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 4C CD 00 00 00 00 43 4F 3B DA 43 4F 3B DA 00 00 00 00 A3 7B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 5C 29 00 00 00 00 43 4F 49 28 43 4F 49 28 00 00 00 00 21 0B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:56.770 B  5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 6E 14 00 00 00 00 43 4F 58 AC 43 4F 58 AC 00 00 00 00 FF 29 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 75 C3 00 00 00 00 43 4F 5F 53 43 4F 5F 53 00 00 00 00 87 8F 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 6E 14 00 00 00 00 43 4F 58 AC 43 4F 58 AC 00 00 00 00 FF 29 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 
20 17:04:56.827 B  00 00 5E F1 
20 17:04:57.017 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 6B 85 00 00 00 00 43 4F 56 75 43 4F 56 75 00 00 00 00 58 C4 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
